,School Name,School City,Institution Type,Total Students,% Male Students,% Female Students,% Caucasian Student,% African American Student,% Hispanic Student,% Asian Student,% American Indian and Alaska Native Student,% Native Hawaiian and Pacific Islander Student,% Two or More Race Student,% Non Resident Alien Student,% Unknown Student,Retention Rate,Share of Student Received Pell Grant,Overall Completion Rate,Completion rate of Caucasian Student,Completion rate of African American Student,Completion rate of Hispanic Student,Completion rate of Asian Student,Completion rate of American Indian/Alaska Native Student,Completion rate of Two or More Races Student,Completion rate of Non Tesident Alien Student
0,Saint Cloud State University,Saint Cloud,Public,6054.0,0.4899,0.5101,0.6378,0.1069,0.0491,0.057,0.0021,0.0003,0.032,0.1113,0.0035,0.6177,0.5662100457,0.4719,0.5097,0.2857,0.3913,0.2959,0.1429,0.2903,0.7071
1,Bemidji State University,Bemidji,Public,3508.0,0.4265,0.5735,0.8093,0.0282,0.0294,0.0171,0.0359,0.0006,0.0527,0.0188,0.008,0.6728,0.5085452272,0.4759,0.4914,0.3,0.2857,0.3333,0.375,0.2963,0.5333
2,Minnesota State University-Mankato,Mankato,Public,11500.0,0.4637,0.5363,0.7176,0.0607,0.0512,0.037,0.0031,0.0004,0.0352,0.0891,0.0057,0.747,0.457730812,0.5183,0.5462,0.3063,0.3984,0.4057,0.5,0.4318,0.5577
3,University of Minnesota-Crookston,Crookston,Public,1574.0,0.432,0.568,0.7541,0.0476,0.0515,0.0413,0.0089,0.0,0.0337,0.0349,0.028,0.6973,0.5157437568,0.5604,0.6144,0.25,0.3846,0.75,0.0,0.4286,0.6
4,Minnesota State University Moorhead,Moorhead,Public,3778.0,0.378,0.622,0.8086,0.0492,0.0397,0.0161,0.0061,0.0005,0.0389,0.0349,0.0058,0.6872,0.4646840149,0.5692,0.6106,0.4545,0.4737,0.7,0.0,0.2727,0.5
